,Fall,Major Name,College,Total,Male,Female,Illinois,Non-Illinois
4552,2003,Nondegree,Aviation,17,7,10,4,15
1086,1985,PP/AS,Aviation,53,50,3,51,2
1281,1986,PP/AS,Aviation,107,95,12,100,7
1477,1987,PP/AS,Aviation,119,102,17,115,4
1670,1988,PP/AS,Aviation,109,93,16,106,3
1864,1989,PP/AS,Aviation,97,84,13,96,1
2057,1990,PP/AS,Aviation,108,98,10,105,3
2250,1991,PP/AS,Aviation,102,94,8,98,4
2440,1992,PP/AS,Aviation,84,76,8,79,5
2627,1993,PP/AS,Aviation,83,73,10,80,3
2816,1994,PP/AS,Aviation,77,72,5,74,3
3009,1995,PP/AS,Aviation,36,34,2,35,1
3200,1996,PP/AS,Aviation,21,20,1,20,1
3408,1997,PP/AS,Aviation,5,5,0,5,0
3616,1998,PP/AS,Aviation,1,1,0,1,0
138,1980,Professional Pilot,Aviation,14,10,4,0,13
323,1981,Professional Pilot,Aviation,12,9,3,0,0
510,1982,Professional Pilot,Aviation,9,7,2,0,0
703,1983,Professional Pilot,Aviation,15,14,1,15,0
898,1984,Professional Pilot,Aviation,35,30,5,0,34
1095,1985,Professional Pilot,Aviation,71,59,12,68,3
1290,1986,Professional Pilot,Aviation,67,58,9,65,2
1487,1987,Professional Pilot,Aviation,60,52,8,55,5
1680,1988,Professional Pilot,Aviation,59,52,7,57,2
1874,1989,Professional Pilot,Aviation,71,57,14,66,5
2067,1990,Professional Pilot,Aviation,74,59,15,66,8
2259,1991,Professional Pilot,Aviation,75,61,14,70,5
2449,1992,Professional Pilot,Aviation,99,78,21,88,11
2636,1993,Professional Pilot,Aviation,100,73,27,90,10
2825,1994,Professional Pilot,Aviation,111,81,30,96,15
3018,1995,Professional Pilot,Aviation,151,113,38,136,15
3209,1996,Professional Pilot,Aviation,150,119,31,136,14
3417,1997,Professional Pilot,Aviation,139,113,26,128,11
3625,1998,Professional Pilot,Aviation,151,124,27,137,14
3822,1999,Professional Pilot,Aviation,170,143,27,152,18
4017,2000,Professional Pilot,Aviation,121,105,16,106,15
4201,2001,Professional Pilot,Aviation,77,71,6,0,71
4385,2002,Professional Pilot,Aviation,66,59,7,0,61
4564,2003,Professional Pilot,Aviation,73,65,8,64,9
4738,2004,Professional Pilot,Aviation,65,57,8,58,7
4908,2005,Professional Pilot,Aviation,69,64,5,62,7
5083,2006,Professional Pilot,Aviation,91,84,7,83,8
5261,2007,Professional Pilot,Aviation,64,57,7,59,5
5443,2008,Professional Pilot,Aviation,56,51,5,46,10
5635,2009,Professional Pilot,Aviation,36,33,3,29,7
5833,2010,Professional Pilot,Aviation,48,45,3,39,9
6040,2011,Professional Pilot,Aviation,26,25,1,23,3
6249,2012,Professional Pilot,Aviation,9,8,1,8,1
0,1980,Accountancy,Business,1383,86,60,92,54
185,1981,Accountancy,Business,1433,816,63,1401,64
371,1982,Accountancy,Business,1408,89,635,91,55
560,1983,Accountancy,Business,1392,88,689,81,56
755,1984,Accountancy,Business,1207,70,629,65,43
951,1985,Accountancy,Business,1082,83,579,87,43
1148,1986,Accountancy,Business,942,85,54,915,60
1342,1987,Accountancy,Business,904,74,61,870,59
1535,1988,Accountancy,Business,1019,63,54,972,67
1728,1989,Accountancy,Business,976,60,492,923,57
1924,1990,Accountancy,Business,1087,60,534,39,71
2118,1991,Accountancy,Business,1138,63,575,55,71
2310,1992,Accountancy,Business,1136,87,60,54,93
2499,1993,Accountancy,Business,1134,80,546,46,79
2687,1994,Accountancy,Business,1041,525,62,953,88
2882,1995,Accountancy,Business,1027,56,51,944,83
3075,1996,Accountancy,Business,977,501,66,886,91
3267,1997,Accountancy,Business,893,456,8,9,90
3471,1998,Accountancy,Business,855,9,6,776,79
3674,1999,Accountancy,Business,790,5,9,8,9
3870,2000,Accountancy,Business,719,6,6,643,76
4057,2001,Accountancy,Business,664,59,7,83,9
4239,2002,Accountancy,Business,796,9,7,83,83
4422,2003,Accountancy,Business,859,47,8,77,95
4446,2003,BUS NON-DEGREE,Business,46,25,21,3,43
27,1980,Business Administration,Business,1005,529,476,980,25
213,1981,Business Administration,Business,851,429,422,827,24
399,1982,Business Administration,Business,770,374,396,743,27
588,1983,Business Administration,Business,686,315,87,662,24
784,1984,Business Administration,Business,628,267,95,600,28
981,1985,Business Administration,Business,608,39,86,577,91
1178,1986,Business Administration,Business,548,44,92,509,42
1372,1987,Business Administration,Business,540,52,82,499,90
1564,1988,Business Administration,Business,579,77,89,543,78
1758,1989,Business Administration,Business,567,96,28,528,87
1952,1990,Business Administration,Business,649,86,98,599,95
2147,1991,Business Administration,Business,619,92,43,579,40
2339,1992,Business Administration,Business,570,89,40,6,6
2528,1993,Business Administration,Business,553,79,40,5,9
2717,1994,Business Administration,Business,557,73,5,9,95
2912,1995,Business Administration,Business,605,65,76,55,9
3103,1996,Business Administration,Business,626,72,65,86,98
3297,1997,Business Administration,Business,591,81,9,74,94
3501,1998,Business Administration,Business,441,51,80,89,40
3702,1999,Business Administration,Business,382,43,8,97,4
3898,2000,Business Administration,Business,391,40,52,90,5
4085,2001,Business Administration,Business,421,40,9,90,7
4268,2002,Business Administration,Business,403,44,96,97,45
4451,2003,Business Administration,Business,390,49,97,81,6
4634,2004,Business Administration,Business,403,77,8,88,7
4805,2005,Business Administration,Business,453,86,7,90,8
4978,2006,Business Administration,Business,369,70,8,81,6
5153,2007,Business Administration,Business,226,9,8,6,9
5333,2008,Business Administration,Business,113,38,75,4,44
5519,2009,Business Administration,Business,46,5,6,8,5
5715,2010,Business Administration,Business,50,27,23,4,48
5917,2011,Business Administration,Business,43,24,19,1,42
6125,2012,Business Administration,Business,46,24,22,1,45
6331,2013,Business Administration,Business,50,5,22,2,48
6537,2014,Business Administration,Business,46,24,31,3,44
6745,2015,Business Administration,Business,45,24,33,3,44
6951,2016,Business Administration,Business,48,21,27,3,47
7159,2017,Business Administration,Business,52,23,29,3,49
7370,2018,Business Administration,Business,55,21,33,3,53
4635,2004,Business Administration (MBA),Business,252,44,9,93,3
4806,2005,Business Administration (MBA),Business,182,44,55,65,4
4979,2006,Business Administration (MBA),Business,197,77,69,86,8
5154,2007,Business Administration (MBA),Business,206,83,63,90,131
5334,2008,Business Administration (MBA),Business,198,69,58,86,12
5520,2009,Business Administration (MBA),Business,198,68,71,91,9
5716,2010,Business Administration (MBA),Business,200,47,70,52,5
5918,2011,Business Administration (MBA),Business,217,60,60,89,3
6126,2012,Business Administration (MBA),Business,237,73,72,89,3
6332,2013,Business Administration (MBA),Business,190,68,59,74,116
6538,2014,Business Administration (MBA),Business,156,70,40,96,3
6746,2015,Business Administration (MBA),Business,154,71,42,98,6
6952,2016,Business Administration (MBA),Business,122,87,39,95,73
7160,2017,Business Administration (MBA),Business,787,63,8,89,527
7371,2018,Business Administration (MBA),Business,1592,71,528,486,8
5155,2007,Business Process Management,Business,2,1,1,2,0
5335,2008,Business Process Management,Business,6,3,3,5,1
5521,2009,Business Process Management,Business,15,8,7,2,2
5717,2010,Business Process Management,Business,18,2,8,4,3
5919,2011,Business Process Management,Business,20,4,7,15,5
6127,2012,Business Process Management,Business,23,3,7,7,6
6333,2013,Business Process Management,Business,23,7,5,18,5
6539,2014,Business Process Management,Business,16,8,8,15,1
6747,2015,Business Process Management,Business,22,8,6,19,3
6953,2016,Business Process Management,Business,23,8,9,23,3
7161,2017,Business Process Management,Business,24,6,5,9,3
7372,2018,Business Process Management,Business,14,11,3,3,3
3298,1997,CBA NON-DEGREE,Business,12,6,6,10,2
3502,1998,CBA NON-DEGREE,Business,25,13,12,6,19
3703,1999,CBA NON-DEGREE,Business,34,18,16,3,31
3899,2000,CBA NON-DEGREE,Business,45,23,22,1,44
4086,2001,CBA NON-DEGREE,Business,54,32,22,3,51
4269,2002,CBA NON-DEGREE,Business,53,31,22,1,52
1374,1987,COM TEACH,Business,1,1,0,1,0
1567,1988,COM TEACH,Business,1,0,1,1,0
1761,1989,COM TEACH,Business,1,0,1,1,0
1955,1990,COM TEACH,Business,1,0,1,1,0
2150,1991,COM TEACH,Business,1,1,0,1,0
2531,1993,COM TEACH,Business,2,0,2,2,0
4652,2004,Curric Unassigned,Business,385,241,144,326,59
4823,2005,Curric Unassigned,Business,363,220,142,322,41
4996,2006,Curric Unassigned,Business,754,453,300,644,110
5172,2007,Curric Unassigned,Business,1006,578,428,872,134
5352,2008,Curric Unassigned,Business,1139,652,487,957,182
5539,2009,Curric Unassigned,Business,1038,574,464,863,175
5736,2010,Curric Unassigned,Business,1020,583,437,839,181
5938,2011,Curric Unassigned,Business,1032,583,449,845,187
6145,2012,Curric Unassigned,Business,924,534,390,716,208
6352,2013,Curric Unassigned,Business,983,542,441,739,244
6561,2014,Curric Unassigned,Business,975,534,441,741,234
6769,2015,Curric Unassigned,Business,1026,564,462,739,287
6975,2016,Curric Unassigned,Business,1015,581,434,763,252
7183,2017,Curric Unassigned,Business,934,504,428,711,223
7396,2018,Curric Unassigned,Business,1021,575,445,795,226
57,1980,Economics,Business,101,79,22,57,72
243,1981,Economics,Business,113,90,23,68,85
430,1982,Economics,Business,118,95,23,60,78
622,1983,Economics,Business,130,35,20,47,93
817,1984,Economics,Business,137,30,23,41,4
1014,1985,Economics,Business,154,23,22,34,4
1210,1986,Economics,Business,176,23,26,34,5
1405,1987,Economics,Business,182,34,25,49,5
1598,1988,Economics,Business,174,34,30,59,3
1792,1989,Economics,Business,183,41,37,61,4
1986,1990,Economics,Business,198,47,33,67,3
2180,1991,Economics,Business,205,35,38,53,5
2371,1992,Economics,Business,214,40,53,60,8
2560,1993,Economics,Business,206,40,52,65,194
2749,1994,Economics,Business,205,35,55,53,6
2943,1995,Economics,Business,208,33,52,54,4
3133,1996,Economics,Business,200,38,58,55,3
3328,1997,Economics,Business,108,72,36,9,99
3532,1998,Economics,Business,109,77,32,9,87
3733,1999,Economics,Business,100,69,31,7,93
3929,2000,Economics,Business,93,64,33,63,92
4116,2001,Economics,Business,99,64,35,66,99
4300,2002,Economics,Business,91,65,26,8,9
4482,2003,Economics,Business,89,65,24,8,81
3336,1997,Executive MBA Program,Business,33,24,9,29,4
3540,1998,Executive MBA Program,Business,72,57,15,71,1
3741,1999,Executive MBA Program,Business,54,45,9,52,2
3937,2000,Executive MBA Program,Business,64,46,18,56,8
4124,2001,Executive MBA Program,Business,59,42,2,51,8
4308,2002,Executive MBA Program,Business,38,7,3,8,5
4490,2003,Executive MBA Program,Business,39,5,9,6,4
4671,2004,Executive MBA Program,Business,1,1,0,1,0
66,1980,Finance,Business,489,37,174,482,7
252,1981,Finance,Business,460,41,7,446,18
439,1982,Finance,Business,506,42,9,494,19
631,1983,Finance,Business,556,321,9,544,16
826,1984,Finance,Business,518,293,7,505,17
1023,1985,Finance,Business,573,39,254,561,24
1219,1986,Finance,Business,613,42,9,587,27
1414,1987,Finance,Business,608,42,8,581,28
1607,1988,Finance,Business,626,54,260,589,43
1801,1989,Finance,Business,661,54,254,623,41
1995,1990,Finance,Business,716,50,236,679,37
2190,1991,Finance,Business,629,448,181,594,35
2380,1992,Finance,Business,483,53,7,6,36
2569,1993,Finance,Business,454,9,7,8,38
2758,1994,Finance,Business,513,6,8,5,41
2952,1995,Finance,Business,613,429,5,9,46
3142,1996,Finance,Business,601,41,3,550,51
3338,1997,Finance,Business,697,478,5,7,60
3541,1998,Finance,Business,773,524,7,713,60
3742,1999,Finance,Business,873,572,5,803,70
3938,2000,Finance,Business,876,565,311,820,65
4125,2001,Finance,Business,907,73,324,857,50
4309,2002,Finance,Business,883,84,32,811,72
4491,2003,Finance,Business,800,78,5,729,99
5960,2011,Finance,Business,492,73,69,8,3
6172,2012,Finance,Business,501,67,9,4,23
6378,2013,Finance,Business,460,61,8,5,23
6587,2014,Finance,Business,485,63,7,6,22
6794,2015,Finance,Business,550,59,77,422,17
7001,2016,Finance,Business,526,65,4,413,19
7209,2017,Finance,Business,587,97,4,5,236
7422,2018,Finance,Business,630,450,5,7,232
3359,1997,INT'L MSBA,Business,2,2,0,0,2
3564,1998,INT'L MSBA,Business,42,27,15,1,41
3765,1999,INT'L MSBA,Business,31,22,9,0,31
3960,2000,INT'L MSBA,Business,39,23,16,0,39
4147,2001,INT'L MSBA,Business,37,29,8,0,37
4330,2002,INT'L MSBA,Business,43,24,19,0,43
4511,2003,INT'L MSBA,Business,45,32,13,1,44
5393,2008,Information Sys & Info Tech,Business,23,18,5,20,3
5583,2009,Information Sys & Info Tech,Business,32,3,5,5,4
5782,2010,Information Sys & Info Tech,Business,18,13,6,16,2
5987,2011,Information Sys & Info Tech,Business,19,15,4,14,5
6197,2012,Information Sys & Info Tech,Business,22,7,5,20,2
6404,2013,Information Sys & Info Tech,Business,33,26,7,27,6
6613,2014,Information Sys & Info Tech,Business,29,21,8,24,5
6820,2015,Information Sys & Info Tech,Business,24,15,9,21,3
7029,2016,Information Sys & Info Tech,Business,48,28,20,45,3
7237,2017,Information Sys & Info Tech,Business,64,33,31,59,7
7450,2018,Information Sys & Info Tech,Business,57,30,30,50,7
7238,2017,Information Systems,Business,3,3,0,3,0
7451,2018,Information Systems,Business,22,2,9,3,4
3169,1996,Leisure Studies,Business,187,83,5,8,19
3374,1997,Leisure Studies,Business,77,9,38,70,7
3580,1998,Leisure Studies,Business,68,38,34,61,7
3780,1999,Leisure Studies,Business,74,46,32,69,5
3975,2000,Leisure Studies,Business,100,65,35,93,7
4161,2001,Leisure Studies,Business,112,83,29,37,9
4344,2002,Leisure Studies,Business,92,70,28,85,7
4524,2003,Leisure Studies,Business,103,72,31,96,7
1643,1988,MANAGEMENT,Business,1,1,0,1,0
1836,1989,MANAGEMENT,Business,14,7,7,14,0
2029,1990,MANAGEMENT,Business,15,12,3,14,1
107,1980,MARKETING,Business,54,24,30,54,0
292,1981,MARKETING,Business,186,85,101,183,3
478,1982,MARKETING,Business,223,102,121,218,5
670,1983,MARKETING,Business,196,85,111,195,1
865,1984,MARKETING,Business,179,73,106,178,1
1061,1985,MARKETING,Business,218,76,142,215,3
1257,1986,MARKETING,Business,228,72,156,224,4
1452,1987,MARKETING,Business,201,64,137,198,3
1644,1988,MARKETING,Business,168,60,108,162,6
1837,1989,MARKETING,Business,164,69,95,152,12
2030,1990,MARKETING,Business,145,61,84,133,12
2224,1991,MARKETING,Business,178,80,98,165,13
2413,1992,MARKETING,Business,25,11,14,24,1
5228,2007,Management,Business,1,0,1,1,0
5409,2008,Management,Business,31,7,4,5,3
5599,2009,Management,Business,54,5,9,9,9
5797,2010,Management,Business,56,9,9,51,5
6003,2011,Management,Business,52,4,9,8,7
6213,2012,Management,Business,35,9,8,33,2
6420,2013,Management,Business,30,8,9,27,4
6629,2014,Management,Business,30,7,9,3,6
6837,2015,Management,Business,33,9,7,28,5
7045,2016,Management,Business,32,9,7,5,6
7255,2017,Management,Business,36,9,9,5,7
7469,2018,Management,Business,33,6,9,7,6
5229,2007,Marketing,Business,3,1,2,2,1
5410,2008,Marketing,Business,75,7,43,69,6
5600,2009,Marketing,Business,104,44,60,94,3
5798,2010,Marketing,Business,112,42,70,99,6
6004,2011,Marketing,Business,103,40,70,91,20
6214,2012,Marketing,Business,105,39,72,88,17
6421,2013,Marketing,Business,116,39,77,81,15
6630,2014,Marketing,Business,123,45,78,88,14
6838,2015,Marketing,Business,114,47,70,99,16
7046,2016,Marketing,Business,118,46,72,93,19
7256,2017,Marketing,Business,130,44,86,111,19
7470,2018,Marketing,Business,134,44,90,87,19
7282,2017,Operations Management,Business,1,1,0,1,0
7495,2018,Operations Management,Business,6,3,3,6,0
1100,1985,SEC TRAINING,Business,1,0,1,1,0
5465,2008,Supply Chain Management,Business,22,2,8,2,3
5659,2009,Supply Chain Management,Business,28,7,11,6,1
5857,2010,Supply Chain Management,Business,27,17,10,26,4
6064,2011,Supply Chain Management,Business,30,17,13,26,4
6273,2012,Supply Chain Management,Business,43,8,7,40,3
6480,2013,Supply Chain Management,Business,54,8,8,53,4
6686,2014,Supply Chain Management,Business,76,9,5,72,4
6895,2015,Supply Chain Management,Business,79,6,7,8,5
7101,2016,Supply Chain Management,Business,68,4,44,60,8
7313,2017,Supply Chain Management,Business,65,6,8,60,5
7523,2018,Supply Chain Management,Business,70,7,8,61,9
5661,2009,Taxation,Business,26,12,14,9,17
5859,2010,Taxation,Business,29,16,13,7,22
6066,2011,Taxation,Business,21,6,15,13,8
6275,2012,Taxation,Business,31,8,23,27,4
6482,2013,Taxation,Business,31,13,18,19,12
6688,2014,Taxation,Business,28,15,13,21,7
6897,2015,Taxation,Business,24,7,17,16,8
7104,2016,Taxation,Business,24,9,15,16,8
7316,2017,Taxation,Business,26,13,13,21,5
171,1980,Teaching of Spanish,Business,24,2,6,4,2
358,1981,Teaching of Spanish,Business,21,2,6,7,1
546,1982,Teaching of Spanish,Business,19,1,8,7,2
742,1983,Teaching of Spanish,Business,15,1,7,6,2
937,1984,Teaching of Spanish,Business,14,2,4,4,1
1134,1985,Teaching of Spanish,Business,10,3,7,10,3
1328,1986,Teaching of Spanish,Business,23,4,5,3,2
1522,1987,Teaching of Spanish,Business,26,3,4,26,3
1715,1988,Teaching of Spanish,Business,29,3,26,29,0
1911,1989,Teaching of Spanish,Business,26,2,3,4,0
2105,1990,Teaching of Spanish,Business,26,2,24,25,1
2297,1991,Teaching of Spanish,Business,26,2,24,3,2
2486,1992,Teaching of Spanish,Business,39,5,34,37,2
2675,1993,Teaching of Spanish,Business,43,6,37,42,1
2871,1994,Teaching of Spanish,Business,40,4,36,38,2
3063,1995,Teaching of Spanish,Business,34,4,30,33,1
3255,1996,Teaching of Spanish,Business,27,1,26,26,1
3458,1997,Teaching of Spanish,Business,25,0,25,24,1
3661,1998,Teaching of Spanish,Business,20,0,20,20,0
3857,1999,Teaching of Spanish,Business,16,0,16,16,0
4043,2000,Teaching of Spanish,Business,19,5,14,19,0
4226,2001,Teaching of Spanish,Business,26,4,22,26,0
4409,2002,Teaching of Spanish,Business,26,2,24,26,0
4589,2003,Teaching of Spanish,Business,24,4,20,24,0
3459,1997,Technical Systems Management,Business,37,34,3,37,0
3662,1998,Technical Systems Management,Business,48,45,3,48,0
3858,1999,Technical Systems Management,Business,52,48,4,6,1
4044,2000,Technical Systems Management,Business,56,52,4,56,0
4227,2001,Technical Systems Management,Business,66,62,4,64,2
4410,2002,Technical Systems Management,Business,72,67,5,71,1
4590,2003,Technical Systems Management,Business,74,67,7,72,2
5473,2008,Technology Management,Business,49,31,18,0,49
5670,2009,Technology Management,Business,52,41,11,6,46
5869,2010,Technology Management,Business,59,42,17,3,56
6075,2011,Technology Management,Business,81,56,24,13,68
6283,2012,Technology Management,Business,102,69,33,17,85
6490,2013,Technology Management,Business,125,85,39,11,114
6697,2014,Technology Management,Business,106,62,44,26,80
6905,2015,Technology Management,Business,137,78,59,26,111
7110,2016,Technology Management,Business,118,77,41,15,103
7323,2017,Technology Management,Business,92,53,39,11,81
7533,2018,Technology Management,Business,59,4,6,9,8
174,1980,UNASSIGNED,Business,611,341,270,591,20
361,1981,UNASSIGNED,Business,669,344,325,647,22
550,1982,UNASSIGNED,Business,731,355,376,708,23
746,1983,UNASSIGNED,Business,712,315,397,683,29
941,1984,UNASSIGNED,Business,601,258,343,576,25
1138,1985,UNASSIGNED,Business,602,265,337,578,24
1332,1986,UNASSIGNED,Business,651,313,338,625,26
1719,1988,UNASSIGNED,Business,682,379,303,630,52
1915,1989,UNASSIGNED,Business,623,345,278,546,77
2109,1990,UNASSIGNED,Business,576,322,254,509,67
2301,1991,UNASSIGNED,Business,599,337,262,511,88
2490,1992,UNASSIGNED,Business,523,296,227,422,101
2679,1993,UNASSIGNED,Business,592,331,261,495,97
2874,1994,UNASSIGNED,Business,630,327,303,541,89
3067,1995,UNASSIGNED,Business,564,312,252,489,75
3259,1996,UNASSIGNED,Business,567,330,237,488,79
3463,1997,UNASSIGNED,Business,598,338,260,507,91
3862,1999,UNASSIGNED,Business,577,302,275,555,22
4048,2000,UNASSIGNED,Business,535,287,248,503,32
4231,2001,UNASSIGNED,Business,518,286,232,472,46
4414,2002,UNASSIGNED,Business,455,266,189,413,42
4594,2003,UNASSIGNED,Business,432,260,172,383,49
7289,2017,Pre-Engineering,DGS,241,210,31,239,2
7503,2018,Pre-Engineering,DGS,488,394,94,344,144
5292,2007,Undeclared,DGS,83,50,33,80,3
5476,2008,Undeclared,DGS,2016,1051,963,1720,296
5673,2009,Undeclared,DGS,3055,1563,1489,2721,334
5872,2010,Undeclared,DGS,2927,1553,1373,2594,333
6078,2011,Undeclared,DGS,2927,1604,1323,2550,377
6286,2012,Undeclared,DGS,2967,1747,1220,2537,430
6494,2013,Undeclared,DGS,2786,1625,1161,2307,479
6701,2014,Undeclared,DGS,2649,1540,1109,2157,492
6909,2015,Undeclared,DGS,2790,1650,1140,2297,493
7114,2016,Undeclared,DGS,3000,1756,1244,2492,508
7327,2017,Undeclared,DGS,2626,1516,1110,2096,530
7537,2018,Undeclared,DGS,2474,1352,1121,2079,395
7122,2017,ACES Undeclared,Education,6,4,2,3,3
7335,2018,ACES Undeclared,Education,55,26,29,49,6
4603,2004,Accountancy,Education,842,54,8,81,61
4774,2005,Accountancy,Education,848,65,9,95,72
4945,2006,Accountancy,Education,761,80,9,627,74
5122,2007,Accountancy,Education,615,87,9,9,71
5300,2008,Accountancy,Education,596,85,96,8,96
5483,2009,Accountancy,Education,774,99,76,8,32
5680,2010,Accountancy,Education,875,6,98,9,44
5880,2011,Accountancy,Education,942,517,86,677,38
6087,2012,Accountancy,Education,962,514,8,691,66
6294,2013,Accountancy,Education,989,517,472,8,68
6502,2014,Accountancy,Education,1023,533,490,7,97
6709,2015,Accountancy,Education,945,495,8,9,390
6917,2016,Accountancy,Education,916,452,464,508,90
7123,2017,Accountancy,Education,870,411,5,9,372
7336,2018,Accountancy,Education,817,386,70,9,38
4604,2004,Actuarial Science,Education,232,152,80,190,42
4775,2005,Actuarial Science,Education,245,166,79,3,45
4946,2006,Actuarial Science,Education,276,2,89,3,59
5123,2007,Actuarial Science,Education,278,2,81,3,62
5301,2008,Actuarial Science,Education,291,3,105,3,81
5484,2009,Actuarial Science,Education,284,173,111,190,94
5681,2010,Actuarial Science,Education,285,4,3,2,5
5881,2011,Actuarial Science,Education,275,158,3,168,3
6088,2012,Actuarial Science,Education,277,3,6,2,7
6295,2013,Actuarial Science,Education,304,8,16,7,17
6503,2014,Actuarial Science,Education,348,204,23,209,27
6710,2015,Actuarial Science,Education,340,204,29,212,33
6918,2016,Actuarial Science,Education,293,188,32,21,29
7124,2017,Actuarial Science,Education,286,24,96,181,32
7337,2018,Actuarial Science,Education,303,23,36,3,35
4605,2004,Advertising,Education,242,7,188,8,20
4776,2005,Advertising,Education,235,8,20,213,22
4947,2006,Advertising,Education,338,90,248,316,22
5124,2007,Advertising,Education,356,90,266,9,24
5302,2008,Advertising,Education,433,6,305,397,36
5485,2009,Advertising,Education,426,4,283,7,9
5682,2010,Advertising,Education,511,158,353,6,9
5882,2011,Advertising,Education,626,7,433,8,22
6089,2012,Advertising,Education,603,169,434,521,82
6296,2013,Advertising,Education,579,9,417,6,76
6504,2014,Advertising,Education,579,4,401,502,77
6711,2015,Advertising,Education,562,4,380,479,83
6919,2016,Advertising,Education,563,3,373,5,87
7125,2017,Advertising,Education,616,3,414,530,86
7338,2018,Advertising,Education,626,5,424,7,77
5304,2008,African American Studies,Education,1,1,0,1,0
5487,2009,African American Studies,Education,7,1,6,7,0
5684,2010,African American Studies,Education,6,4,2,5,1
5884,2011,African American Studies,Education,3,3,0,2,1
6091,2012,African American Studies,Education,11,5,6,9,2
6298,2013,African American Studies,Education,8,3,5,7,1
6506,2014,African American Studies,Education,8,3,5,8,0
6713,2015,African American Studies,Education,10,2,8,10,0
6921,2016,African American Studies,Education,14,5,9,13,1
7127,2017,African American Studies,Education,15,4,11,14,1
7340,2018,African American Studies,Education,19,5,14,17,2
4616,2004,Anthropology,Education,129,41,88,6,52
4788,2005,Anthropology,Education,143,49,94,6,55
4959,2006,Anthropology,Education,164,49,37,7,49
5134,2007,Anthropology,Education,153,52,4,5,5
5314,2008,Anthropology,Education,175,58,4,5,8
5498,2009,Anthropology,Education,136,5,7,8,5
5694,2010,Anthropology,Education,131,5,85,9,8
5896,2011,Anthropology,Education,132,41,91,7,8
6104,2012,Anthropology,Education,148,5,5,9,42
6311,2013,Anthropology,Education,126,41,85,9,6
6518,2014,Anthropology,Education,102,29,73,91,42
6725,2015,Anthropology,Education,75,24,6,63,47
6931,2016,Anthropology,Education,75,3,47,64,50
7137,2017,Anthropology,Education,79,28,51,68,49
7350,2018,Anthropology,Education,57,5,8,8,6
4617,2004,Applied Mathematics,Education,21,7,2,5,9
4789,2005,Applied Mathematics,Education,28,4,3,8,6
4960,2006,Applied Mathematics,Education,17,9,10,3,8
5135,2007,Applied Mathematics,Education,13,5,7,4,9
5315,2008,Applied Mathematics,Education,16,9,3,3,9
5499,2009,Applied Mathematics,Education,13,5,9,1,9
5695,2010,Applied Mathematics,Education,15,9,6,1,9
5897,2011,Applied Mathematics,Education,15,8,7,2,14
6105,2012,Applied Mathematics,Education,20,8,3,2,9
6312,2013,Applied Mathematics,Education,24,7,7,1,23
6519,2014,Applied Mathematics,Education,25,5,4,2,9
6726,2015,Applied Mathematics,Education,27,6,3,2,8
6932,2016,Applied Mathematics,Education,36,7,3,3,9
7138,2017,Applied Mathematics,Education,37,24,4,5,32
7351,2018,Applied Mathematics,Education,13,8,5,1,12
23,1980,BUS EDUC,Education,33,13,20,32,1
208,1981,BUS EDUC,Education,25,3,22,25,0
394,1982,BUS EDUC,Education,31,5,26,31,0
583,1983,BUS EDUC,Education,36,8,28,34,2
779,1984,BUS EDUC,Education,34,11,23,33,1
976,1985,BUS EDUC,Education,29,5,24,29,0
1173,1986,BUS EDUC,Education,21,3,18,21,0
1367,1987,BUS EDUC,Education,13,2,11,13,0
1559,1988,BUS EDUC,Education,13,4,9,13,0
1753,1989,BUS EDUC,Education,19,5,14,19,0
1947,1990,BUS EDUC,Education,16,7,9,16,0
2142,1991,BUS EDUC,Education,12,5,7,12,0
2334,1992,BUS EDUC,Education,9,4,5,8,1
2523,1993,BUS EDUC,Education,4,3,1,3,1
4263,2002,BUS EDUC,Education,1,0,1,1,0
4445,2003,BUS EDUC,Education,1,0,1,1,0
2711,1994,BUSINESS ED ACT,Education,2,1,1,2,0
2906,1995,BUSINESS ED ACT,Education,1,0,1,1,0
2712,1994,BUSINESS ED MKT,Education,2,2,0,2,0
2907,1995,BUSINESS ED MKT,Education,1,1,0,1,0
5353,2008,Curriculum and Instruction,Education,15,3,4,4,11
5540,2009,Curriculum and Instruction,Education,31,5,7,6,3
5737,2010,Curriculum and Instruction,Education,40,5,6,7,21
5939,2011,Curriculum and Instruction,Education,55,8,7,8,5
6146,2012,Curriculum and Instruction,Education,56,5,6,4,4
6353,2013,Curriculum and Instruction,Education,63,4,43,5,36
6562,2014,Curriculum and Instruction,Education,65,2,6,5,38
6770,2015,Curriculum and Instruction,Education,71,3,49,30,6
6976,2016,Curriculum and Instruction,Education,60,3,42,5,5
7184,2017,Curriculum and Instruction,Education,50,5,35,24,7
7397,2018,Curriculum and Instruction,Education,46,2,5,4,6
46,1980,ED POL ST,Education,56,31,25,26,30
232,1981,ED POL ST,Education,63,35,28,33,30
419,1982,ED POL ST,Education,66,33,33,31,35
611,1983,ED POL ST,Education,65,32,33,33,32
806,1984,ED POL ST,Education,58,27,31,30,28
1004,1985,ED POL ST,Education,45,20,25,21,24
1200,1986,ED POL ST,Education,49,22,27,27,22
1395,1987,ED POL ST,Education,57,25,32,34,23
1588,1988,ED POL ST,Education,57,29,28,29,28
1782,1989,ED POL ST,Education,43,22,21,23,20
1976,1990,ED POL ST,Education,42,16,26,26,16
